COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,戶數,人口數,男性人口數,女性人口數,資料時間
"67000","臺南市","67000010","新營區","67000010-001","忠政里",2299,5039,2420,2619,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-002","民權里",1253,2669,1306,1363,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-003","三仙里",1308,2994,1436,1558,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-007","大宏里",1450,3392,1648,1744,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-008","王公里",1819,4491,2239,2252,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-009","中營里",522,1224,601,623,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-010","土庫里",600,1538,771,767,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-012","南興里",1196,2501,1190,1311,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-013","興業里",954,1901,869,1032,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-014","民生里",1520,3518,1754,1764,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-015","民榮里",2400,5254,2526,2728,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-016","埤寮里",756,1883,935,948,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-017","護鎮里",620,1498,767,731,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-018","太南里",837,1787,967,820,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-019","太北里",748,1857,961,896,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-020","南紙里",1786,4285,2013,2272,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-021","嘉芳里",847,2094,1040,1054,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-025","五興里",705,1592,839,753,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-026","姑爺里",415,866,464,402,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-027","新北里",2579,6224,2983,3241,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-028","新南里",2820,6714,3177,3537,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-029","新東里",3206,8522,4129,4393,"114Y12M"
"67000","臺南市","67000010","新營區","67000010-030","永平里",1276,2650,1362,1288,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-001","水秀里",751,1736,869,867,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-008","橋南里",1749,4118,2059,2059,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-010","汫水里",416,901,488,413,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-011","岸內里",1916,4500,2295,2205,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-014","歡雅里",750,1674,879,795,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-026","津城里",752,1540,816,724,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-027","月港里",720,1617,831,786,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-028","三明里",691,1591,831,760,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-029","義中里",772,1718,896,822,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-030","文昌里",485,1011,559,452,"114Y12M"
"67000","臺南市","67000020","鹽水區","67000020-031","竹林里",470,1053,564,489,"114Y12M"
